raw_name,raw_prefix,model,category,provider,prompt_type,temperature,fine_tuned,distribution,size,vectorizer,f1_macro,precision,recall,accuracy,fleiss_kappa,mean_cohen_kappa,consistency_all_runs
first_digit,,first_digit,Literature,,,,,,,,0.2111111111111111,0.5588235294117647,0.13013698630136986,0.574,,,
second_digit,,second_digit,Literature,,,,,,,,0.4724770642201835,0.47465437788018433,0.4703196347031963,0.54,,,
KF23_innovation,,KF23_innovation,Literature,,,,,,,,0.6657789613848203,0.7987220447284346,0.5707762557077626,0.749,,,
AK23_innovation,,AK23_innovation,Literature,,,,,,,,0.6146341463414634,0.4772727272727273,0.863013698630137,0.526,,,
tfidf__equal__100__RandomForest_pred,,RandomForest,ML,,,,,equal,100.0,tfidf,0.5667655786350149,0.809322033898305,0.4360730593607306,0.708,,,
tfidf__equal__100__LogisticRegression_pred,,LogisticRegression,ML,,,,,equal,100.0,tfidf,0.6814814814814815,0.7419354838709677,0.6301369863013698,0.742,,,
tfidf__equal__100__KNeighbors_pred,,KNeighbors,ML,,,,,equal,100.0,tfidf,0.5682451253481894,0.7285714285714285,0.4657534246575342,0.69,,,
tfidf__equal__100__NaiveBayes_pred,,NaiveBayes,ML,,,,,equal,100.0,tfidf,0.6348039215686274,0.6851851851851852,0.591324200913242,0.702,,,
tfidf__equal__100__SVM_pred,,SVM,ML,,,,,equal,100.0,tfidf,0.609254498714653,0.6970588235294117,0.541095890410959,0.696,,,
tfidf__equal__100__XGBoost_pred,,XGBoost,ML,,,,,equal,100.0,tfidf,0.5465288035450517,0.7740585774058577,0.4223744292237443,0.693,,,
tfidf__equal__1000__RandomForest_pred,,RandomForest,ML,,,,,equal,1000.0,tfidf,0.7505882352941177,0.7742718446601942,0.728310502283105,0.788,,,
tfidf__equal__1000__LogisticRegression_pred,,LogisticRegression,ML,,,,,equal,1000.0,tfidf,0.813953488372093,0.8293838862559242,0.7990867579908676,0.84,,,
tfidf__equal__1000__KNeighbors_pred,,KNeighbors,ML,,,,,equal,1000.0,tfidf,0.7301173402868318,0.851063829787234,0.639269406392694,0.793,,,
