raw_name,raw_prefix,model,category,vectorizer,distribution,size,provider,prompt_type,temperature,fine_tuned,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_macro,f1_weighted,fleiss_kappa,mean_cohen_kappa,consistency_all_runs
tfidf__equal__100__RandomForest_pred,,RandomForest,ML,tfidf,equal,100.0,,,,,0.2160919540229885,0.22594142259414227,0.40816326530612246,0.3611111111111111,0.0821917808219178,0.7337748344370861,0.16129032258064516,0.3126520986962876,0.4436948787520218,,,
tfidf__equal__100__LogisticRegression_pred,,LogisticRegression,ML,tfidf,equal,100.0,,,,,0.5369774919614148,0.23404255319148937,0.5306122448979592,0.4429530201342282,0.18181818181818182,0.7375328083989501,0.12121212121212122,0.3978783459449064,0.5783902709599426,,,
tfidf__equal__100__KNeighbors_pred,,KNeighbors,ML,tfidf,equal,100.0,,,,,0.45080500894454384,0.2138364779874214,0.47058823529411764,0.3898305084745763,0.0967741935483871,0.7164887307236062,0.045454545454545456,0.3405396714895997,0.5271127992514556,,,
tfidf__equal__100__NaiveBayes_pred,,NaiveBayes,ML,tfidf,equal,100.0,,,,,0.47863247863247865,0.23376623376623376,0.48175182481751827,0.45121951219512196,0.09523809523809523,0.6879334257975035,0.15384615384615385,0.3689125320418722,0.5339313657309046,,,
tfidf__equal__100__SVM_pred,,SVM,ML,tfidf,equal,100.0,,,,,0.44014084507042256,0.23809523809523808,0.4864864864864865,0.44047619047619047,0.08771929824561403,0.66189111747851,0.1276595744680851,0.35463839290293525,0.5086883485101784,,,
tfidf__equal__100__XGBoost_pred,,XGBoost,ML,tfidf,equal,100.0,,,,,0.3125,0.233502538071066,0.4,0.36904761904761907,0.04819277108433735,0.5905848787446505,0.06993006993006994,0.2891082681253918,0.42105696578404495,,,
tfidf__equal__1000__RandomForest_pred,,RandomForest,ML,tfidf,equal,1000.0,,,,,0.5507246376811594,0.26200873362445415,0.60431654676259,0.5775401069518716,0.15384615384615385,0.8051282051282052,0.1111111111111111,0.4378107850150778,0.6266869626560513,,,
tfidf__equal__1000__LogisticRegression_pred,,LogisticRegression,ML,tfidf,equal,1000.0,,,,,0.7202380952380952,0.43617021276595747,0.631578947368421,0.6113989637305699,0.2727272727272727,0.8435897435897436,0.16666666666666666,0.5260528431552467,0.7232603719197288,,,
tfidf__equal__1000__KNeighbors_pred,,KNeighbors,ML,tfidf,equal,1000.0,,,,,0.58603066439523,0.35555555555555557,0.6423357664233577,0.5371428571428571,0.19047619047619047,0.8045197740112995,0.13333333333333333,0.4641991630482606,0.6458325098243604,,,
tfidf__equal__1000__NaiveBayes_pred,,NaiveBayes,ML,tfidf,equal,1000.0,,,,,0.683969465648855,0.43333333333333335,0.6290322580645161,0.5212765957446809,0.17777777777777778,0.8238341968911918,0.16666666666666666,0.4908414705895745,0.6932112208844159,,,
tfidf__equal__1000__SVM_pred,,SVM,ML,tfidf,equal,1000.0,,,,,0.6945244956772334,0.4385026737967914,0.6666666666666666,0.6101694915254238,0.3076923076923077,0.8530927835051546,0.14285714285714285,0.5305007945315314,0.719964015169522,,,
tfidf__equal__1000__XGBoost_pred,,XGBoost,ML,tfidf,equal,1000.0,,,,,0.662613981762918,0.39069767441860465,0.6470588235294118,0.5714285714285714,0.1935483870967742,0.8413978494623656,0.2,0.500963612528378,0.6949539884255885,,,
tfidf__equal__2000__RandomForest_pred,,RandomForest,ML,tfidf,equal,2000.0,,,,,0.6914212548015365,0.2773722627737226,0.5981308411214953,0.6013071895424836,0.21052631578947367,0.8232323232323232,0.0,0.45742716960871926,0.6879034537602577,,,
tfidf__equal__2000__LogisticRegression_pred,,LogisticRegression,ML,tfidf,equal,2000.0,,,,,0.8010269576379975,0.5757575757575758,0.6796116504854369,0.6438356164383562,0.2857142857142857,0.8773234200743495,0.16666666666666666,0.5757051675392384,0.7817660201729479,,,
tfidf__equal__2000__KNeighbors_pred,,KNeighbors,ML,tfidf,equal,2000.0,,,,,0.6402535657686212,0.3220338983050847,0.6610169491525424,0.496551724137931,0.23529411764705882,0.7891440501043842,0.15384615384615385,0.47116292270882515,0.6561050421165819,,,
tfidf__equal__2000__NaiveBayes_pred,,NaiveBayes,ML,tfidf,equal,2000.0,,,,,0.7673130193905817,0.5138888888888888,0.6616541353383458,0.6134969325153374,0.3333333333333333,0.8824273072060683,0.35294117647058826,0.589293541877592,0.7664253897673805,,,
