model,category,vectorizer,distribution,size,raw_name,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_macro,f1_micro,f1_weighted,subset_acc,hamming_loss,consistency,provider,prompt_type,temperature,fine_tuned
RandomForest,ML,tfidf,equal,100.0,tfidf__equal__100__RandomForest_pred,0.37658227848101267,0.22815533980582525,0.24742268041237114,0.23166023166023167,0.24,0.17391304347826086,0.07017543859649122,0.02564102564102564,0.07692307692307693,0.18560812388869946,0.26119402985074625,0.2896714700958059,0.138,0.154,,,,,
LogisticRegression,ML,tfidf,equal,100.0,tfidf__equal__100__LogisticRegression_pred,0.2300556586270872,0.024691358024691357,0.1320754716981132,0.013422818791946308,0.12121212121212122,0.0,0.0,0.0,0.1111111111111111,0.07028539327389671,0.13286713286713286,0.1283705327646151,0.072,0.11022222222222222,,,,,
KNeighbors,ML,tfidf,equal,100.0,tfidf__equal__100__KNeighbors_pred,0.2907801418439716,0.1917808219178082,0.3176895306859206,0.27615062761506276,0.2857142857142857,0.14893617021276595,0.16216216216216217,0.08,0.05,0.20035708223910856,0.25255562236921225,0.25750566503377065,0.168,0.1381111111111111,,,,,
NaiveBayes,ML,tfidf,equal,100.0,tfidf__equal__100__NaiveBayes_pred,0.5754189944134078,0.38866396761133604,0.26535626535626533,0.31363636363636366,0.20689655172413793,0.07228915662650602,0.04,0.03940886699507389,0.053475935828877004,0.2172384557991075,0.3020329138431752,0.4264611526828841,0.08,0.24033333333333334,,,,,
SVM,ML,tfidf,equal,100.0,tfidf__equal__100__SVM_pred,0.39872408293460926,0.23493975903614459,0.29850746268656714,0.2743362831858407,0.2857142857142857,0.1111111111111111,0.08888888888888889,0.02666666666666667,0.12121212121212122,0.2044556290484706,0.2870478413068845,0.31268413287481633,0.178,0.13577777777777778,,,,,
XGBoost,ML,tfidf,equal,100.0,tfidf__equal__100__XGBoost_pred,0.28034188034188035,0.11347517730496454,0.14102564102564102,0.09090909090909091,0.07272727272727272,0.06201550387596899,0.04,0.0,0.0,0.08894384068720207,0.1672285906945381,0.1820404603542118,0.099,0.13722222222222222,,,,,
RandomForest,ML,tfidf,equal,1000.0,tfidf__equal__1000__RandomForest_pred,0.7160493827160493,0.4880636604774536,0.6179775280898876,0.4090909090909091,0.5,0.41509433962264153,0.38461538461538464,0.0,0.23255813953488372,0.4181610382385788,0.5757071547420965,0.5778581000415506,0.42,0.085,,,,,
LogisticRegression,ML,tfidf,equal,1000.0,tfidf__equal__1000__LogisticRegression_pred,0.8107448107448108,0.5775401069518716,0.6754966887417219,0.4380952380952381,0.5,0.24,0.125,0.1,0.0,0.3852085382815158,0.6614832535885168,0.6431767057291093,0.521,0.06288888888888888,,,,,
KNeighbors,ML,tfidf,equal,1000.0,tfidf__equal__1000__KNeighbors_pred,0.7328094302554028,0.3893805309734513,0.4161073825503356,0.11764705882352941,0.17391304347826086,0.1935483870967742,0.5,0.2608695652173913,0.0,0.30936393315501615,0.5463576158940397,0.49428787204355873,0.477,0.09133333333333334,,,,,
NaiveBayes,ML,tfidf,equal,1000.0,tfidf__equal__1000__NaiveBayes_pred,0.8331388564760793,0.6257197696737045,0.49454545454545457,0.521505376344086,0.32142857142857145,0.16666666666666666,0.2,0.11940298507462686,0.15789473684210525,0.3822558241168105,0.5969055374592834,0.6565864510522643,0.426,0.11,,,,,
SVM,ML,tfidf,equal,1000.0,tfidf__equal__1000__SVM_pred,0.7921928817451206,0.5616438356164384,0.6629834254143646,0.453125,0.5,0.46511627906976744,0.3333333333333333,0.21621621621621623,0.16666666666666666,0.4612530708957675,0.6421923474663909,0.6428037395021642,0.511,0.0768888888888889,,,,,
XGBoost,ML,tfidf,equal,1000.0,tfidf__equal__1000__XGBoost_pred,0.7542997542997543,0.5111111111111111,0.625,0.34196891191709844,0.43137254901960786,0.23529411764705882,0.1111111111111111,0.13793103448275862,0.0,0.3497876210653889,0.5973715651135006,0.5828985505763755,0.456,0.0748888888888889,,,,,
